标题	年份	类型	国家	时长	评分	人数	概括	链接
复活的军团	2004	纪录片/历史/战争	中国	30	8.9	1807	　　这套纪录片分六集、合三小时，展示了秦军团的昔日荣光　　王者之师：秦人由西北牧场崛起，因护周有功而获封，历550年征伐统一中国。七十年代兵马俑的出土还原了秦国的神秘军队。血色青铜：虽然秦军的青铜武器落后于铁器，但经过合理设计的剑、弩、箭头，在标准化军工厂中源源不断生产供应战事所需。生死之地：以长平之战为例，再现了秦军兵种构成，作战方式。秦军的步兵由弩兵与武器长度不同的士兵方阵组成，骑兵使用弩箭骚扰，战车可脱离步兵组成集团高速作战。关山飞渡：秦统一六国后，开灵渠进占岭南，拓直道北御匈奴，遍布全国的交通系统和先进的制车工艺为帝国的后勤提供了保障。举国之战：出土竹简所记载的秦国法律条文呈现了秦国耕战策略的具体内容，郑国渠与都江堰造就了秦国的粮仓。与子同仇：《商君法》规定了军功授勋制度，这间接培养了秦人的尚武秉性。	http://movie.douban.com/subject/1416297/	
话说长江	1983	纪录片	中国大陆	-9999	8.6	1136	　　解说：陈铎 虹云　　　　长江是中国第一大河。每个中国人都熟悉该片主题歌—《长江之歌》，这是儿女用饱蘸母亲的乳汁写就的。写尽了那种说不清、道不明的恋情：长江是中华民族的母亲河，长江属于中华民族。长江和长江两岸积淀着数不清的自然和人文，每个人都可和着《长江之歌》，循着《话说长江》去领悟它的神奇和博大。　　　　目录　　第一回 源远流长　　第二回 巨川之源　　第三回 金沙的江　　第四回 四川盆地　　第五回 岷江秀色　　第六回 成都漫步　　第七回 峨眉凌云　　第八回 从宜宾到重庆　　第九回 大足石刻　　第十回 川江两岸　　第十一回 壮丽的三峡　　第十二回 长江第一坝　　第十三回 荆江览古　　第十四回 洞庭天下水 岳阳天下楼　　第十五回 从武赤壁到文赤壁　　第十六回 庐山独秀　　第十七回 瓷都景德镇　　第十八回 佛教圣地九华山　　第十九回 飞红滴翠记黄山　　第二...	http://movie.douban.com/subject/1870407/	
丝绸之路 シルクロード	1980	纪录片	中国大陆 / 日本	-9999	9.2	557	　　丝绸之路是古代欧、亚陆路运输的主要路线，除促进东、西商业繁荣外，在民族、宗教及文化交流方面也具有重大意义。　　《丝绸之路》是日本放送局NHK及中国中央电视台CCTV联合制作，探索丝路的壮丽景观、历险故事、丝文化艺术及沿途人民生活状况，与大家一起走进古代贯穿欧、亚的要道。　　由于此节目于20世纪70年代末拍摄，并于自1980年4月起至1984年9月，共播出了30集。　　01. 长安古城　　02. 黄可千里外　　03. 沙漠艺廊　　04. 黑水古城　　05. 寻找楼兰古园　　06. 越过塔克拉玛干沙漠　　07. 于阑-丝绸与玉石的绿洲　　08. 火州吐鲁番　　09. 天山火车之旅　　10. 穿越天山南路　　11. 天马之乡　　12. 两条通往帕米尔之路　　13. 横越帕米尔　　14. 帝王之路　　15. 拉达克　　16. 玄奘天竺天行　　17. 烈日下的伊朗南路　　18. 沙漠与可兰　　19. ...	http://movie.douban.com/subject/5193573/	
新丝绸之路	2006	纪录片/历史	中国大陆	-9999	8.7	813	　　《新丝绸之路》是中日两国国家广播电视机构在新世纪之初的重要合作项目。25年前，中日合拍的《丝绸之路》在中国的纪录片史上产生了深远的影响，在国际上也引起了巨大反响，很多人是从该片中真正了解了中国的西部地区和这条在世界史上赫赫有名的古代商道，曾经在日本等国掀起了一股了解中国的热潮，对中国西北部的开发建设起到了积极的促进作用。　　　　此次拍摄的《新丝绸之路》不再是丝绸古道沿线的纪实报道，而是选择了丝路沿线的楼兰古城遗址、和田、敦煌等10处具有不同文化特征的地点进行深度挖掘报道，每个地点各自成章。摄制组在陕西、甘肃、内蒙古、新疆和青海等地奔波数万公里，走访了瑞典、英国、俄国、德国、日本等10多个国家的博物馆，获得了当年西方探险家的日记和路线图等珍贵资料，拍摄了一些从未公开过的文物及许多新的考古发现。	http://movie.douban.com/subject/1871396/	
周恩来外交风云	1997	纪录片	中国大陆	-9999	8.4	1177	　　电影作品常常对再现伟人的丰采情有独钟，像毛泽东、周恩来、邓小平、陈毅这些革命领袖也都竞相成为银幕上的主人公，有些也很成功，如古月扮演的毛泽东，王铁成扮演的周恩来，卢奇扮演的邓小平。但是，看了大型文献纪录片《周恩来外交风云》，感觉却发生了根本的扭转：再天才的演员也无法完整再现伟人的丰采，真实具有不可超越的魅力。这也是文献纪录片的独特优势。　　真实的魅力首先源于它不可重复的历史价值。历史永远是单向发展的，正如生命不可回转，但那些存在于历史上的人物事件却不会随时间流逝而消失，他们的精神、品质和踪迹还留在今天的生活里。假如镜头纪录了那些伟大的瞬间或伟人的音容笑貌，使我们有机会看到伟人的真实风貌，看到那决定历史进程的瞬间，它将具有不可磨灭的历史价值。这是《周恩来外交风云》最重要的价值———故事片可以一遍又一遍地拍，小说可以一部又一部地写，但真实的周恩来却只有一个...	http://movie.douban.com/subject/1464614/	
森林之歌	2007	纪录片	中国大陆	-9999	9.0	561	　　由中央电视台、国家林业局、财政部联合摄制的大型纪录片《森林之歌》即将于2007年12月1日与观众见面。这部11集的纪录片，拍摄制作历时四年，是中国第一部大型生态纪录片，填补了我国生态纪录片领域的空白。　　《森林之歌》共11集，每集50分钟，由中央电视台社教中心文化专题部承制。摄制组从2003年开始，历经艰辛与危险，赴西藏、新疆、华北、秦岭、云贵高原、东北、海南、福建等典型林区，拍摄大量第一手资料和精美画面。节目论述了森林与人类文明、中华文明的关系，阐述了人、动物、森林和谐共生的关系。	http://movie.douban.com/subject/2340757/	
同饮一江水	2008	纪录片	中国大陆 / 柬埔寨 / 老挝 / 缅甸 / 泰国 / 越南	-9999	8.9	592	　　央视花费巨资历时3年打造的20集大型电视纪录片《同饮一江水》将于2008年1月1日起每晚22时40分在央视一套隆重推出。　　这个纪录片是由中央电视台牵头，联合大湄公河次区域柬埔寨、老挝、缅甸、泰国、越南五国国家电视台合作摄制的。栏目从大湄公河次区域地理、自然、经济、文化、宗教、人民生活和社会现状等各个侧面切入，同时将大湄公河次区域的独特人文风情以及澜沧江－湄公河流域各国在经济、文化等方面合作成果如实地展现在观众面前。	http://movie.douban.com/subject/2372796/	
汉字五千年	2013	纪录片	中国	-9999	8.5	557	　　大型人文纪录片《汉字五千年》通过生动展示汉字产生、演变、发展的　　过程及在五千年中华文化传承中的重要作用，彰显中华文化独特魅力，讴歌中华文化优秀传统。　　全片包括“人类奇葩、高天长河、霞光万道、内在超越、翰墨情怀、天下至宝、浴火重生、芳华永驻”八集。该片用讲故事的方式，借助32个富有代表性的汉字，将隐藏在文字背后的人以及历史充分展示出来，生动描绘了一幅中华文明五千年的历史长卷，具有很强的史料性、权威性和鉴赏性。	http://movie.douban.com/subject/3571540/	
音乐人生 音樂人生	2009	纪录片	香港	90	8.9	6480	　　本片横跨六年时间记述挖掘了香港钢琴神童黄家正在音乐和人生上的成长历程。黄家正作为十一岁便赴捷克与专业交响乐团合作演出的天才神童，在香港本土更是获得无数赞誉。这样的成就在其他人看来已经非常圆满，可是天才的孤独和苦闷只有他自己知道。与兄弟姐妹的矛盾、与同校同学的隔阂、与父亲的分歧，本片在记述黄家正音乐生涯的同时也通过记述他亲人、恩师罗乃新等人之间的关系，侧面刻画了这一神童作为平凡的孩子的一面。六年的心路历程，让观众看到了黄家正从一个桀骜不驯的天才儿童向一个成熟少年蜕变的过程。　　本片在香港本土和台湾地区获得极大声誉。本片于2009年获得第46届金马奖最佳剪辑、最佳音效及最佳纪录片奖项，2010年获得第16届香港电影评论学会大奖最佳电影奖。	http://movie.douban.com/subject/3394878/	
无米乐	2004	纪录片	台湾	112	8.8	488	　　75歲種稻的阿伯說，種田對他來說，是一種修行，風吹、日曬...有時候颱風來襲，農人是無法抵抗的，禪--就是不讓你反抗，你甘心忍受，農人都是如此忍受，像和尚修禪...靜靜的坐、靜靜的修，農人的勞動就是默默地修禪。一季望過一季，好壞冬望著好壞冬，靜待收成的到來，就像以前的人抓魚，這池子沒抓到魚，就換別的池子，總是有會抓到幾隻大魚，如此期待著，農人是如此期待著...。無米樂、無米樂，心情放輕鬆，不要煩惱太多，這叫做....無米樂啦！	http://movie.douban.com/subject/2000675/	
走钢丝的人 Man on Wire	2008	纪录片/传记	英国 / 美国		8.2	4654	　　1974年8月7日，法国杂技名人菲利普·珀蒂（保罗·麦克吉尔 Paul McGill饰）在纽约世贸大厦高达110层（412米）的两座大楼之间，完成了一次至今仍令人叹为观止的壮举——搭起了一条横跨天穹的钢索，完成了长达45分钟的大胆表演。谁也想不到，这个害羞的25岁男孩菲利普，在朋友们的帮助下，缜密调查筹划，突破层层关卡，终于神不知鬼不觉地完成了这次极其危险而疯狂的“艺术犯罪”。菲利普在钢索上或跪或躺，时而慢行时而舞动。影片镜头细腻地捕捉到了当年无比惊险的分秒，并生动地重演了现场，再加上人物访谈等多种手法，使得这部逐梦世贸大厦间的纪录片，在美国911事件后，弥足珍贵。　　这部由BBC、Discovery和UK Film Council联合出品的传记类纪录片《走钢丝的人》，荣获2009年第81届奥斯卡金像奖-最佳纪录长片，2009年第62届英国电影和电视艺...	http://movie.douban.com/subject/2969582/	
伊万·麦格雷戈探访野生北极熊 The Polar Bears of Churchill, with Ewan McGregor	2001	纪录片	英国	-9999	9.1	546	　　Ewan McGregor visits the Polar Bear in it's natural environment.　　明星伊万.麦格雷戈(Ewan McGregor )探访野生北极熊　　Unlike the average wildlife documentaries this one entertains right from the start. Ewan Mcgregor charismatic as every narrates and presents this and takes his wife along for the company.　　I bought this fairly recently because it was mentioned in the 'long way round' DVD and when i ...	http://movie.douban.com/subject/3176429/	
风的故事 Une histoire de vent	1988	纪录片	法国 / 英国 / 西德 / 荷兰	80	8.6	728	　　尤里斯·伊文斯　　一位被上帝永久放逐的“飞翔的荷兰人”，被自己的祖国宣布为叛徒，被美国联邦调查局列上黑名单的纪录电影大师——尤里斯·伊文思。从13岁就开始拍摄电影，有“先锋电影诗人”之美誉。直到90岁完成令人震惊的封镜之作《风的故事》。世界哪里燃烧，他就把摄影机投到哪里去，并始终把镜头对准普通的人。20世纪的世界风云变幻几乎都在他的摄影机镜头里定格，化为影像史诗。　　1984-1988年伊文思与罗丽丹多次来中国，拍摄他酝酿已久的纪录片《风的故事》。年近90的伊文思继续进行艺术探索，影片拍摄的几乎是被认为无法拍摄的事物。这是伊文思对自己几十年艺术生涯总结式的归述，融合了他早期的抒情性的电影语言，“直接电影”的手法，以及超现实主义的表达方法。影片的表现手法细腻，内容虽然抽象而又晦涩，但是富有想象力和启发性，受到人们的热烈称赞。此片是他的最后一部作品，于198...	http://movie.douban.com/subject/2070308/	
野性澳洲 wild australasia	1996	短片/冒险	澳大利亚	37	8.7	225	　　【内容简介】　　经过四千五百万多年的发展，澳洲成为地球上一片独特的大陆。而这片广阔的大陆蕴藏着特有而奇妙的野生生态：有热带森林，也有珊瑚礁；有灼热的沙漠，也有白色的雪山。这些都印证着澳洲独有的风光及生态。虽然澳洲是一片乾旱的大陆，可是它却孕育着种种奇妙的野生动植物。除此之外，还有人类的建居，他们所饲养的野狗、野兔、蟾蜍、野马，甚至他们的文化及传统，都令这片大陆独一无二。这些野生生态都是澳洲的自然奇观：有热带森林，也有珊瑚礁；有灼热的沙漠，也有白色的雪山；表现了澳洲由一片茂盛的绿色植物的土地发展为今天这个先进的国家，另一方面却保存着它中心那广阔的沙漠。　　BBC继《印尼》《非洲》《南美洲》野生篇后又一新探索。经过四千五百多万年的发展，澳洲成为地球上一片独特的大陆，广阔的大陆中蕴藏着特有而奇妙的野生生态。热带森林、珊瑚礁、灼热的沙漠、白色的雪山，印证着澳洲独...	http://movie.douban.com/subject/2243035/	
再见 乌托邦	2009		中国	90	7.6	3337	　　本部纪录片由三条线索组成，对中国摇滚十年做了一次大回顾。第一条线索由寻找小珂引出。这个曾经是“做梦”乐队吉他手的漂亮男孩吴珂，曾在1990年北京轰动一时。可惊世骇俗的他，却在1996年神秘的消失了。第二条线索是有关“魔岩三杰”的前世今生。这三位在大陆摇滚乐坛中举足轻重的乐手，创造出了一个理想年代。第三条线索则是跟拍在录音棚打工的男孩小畅。当大家跟随镜头来到他的山东老家时，一群农村青年齐声高唱Beyond的《真的爱你》。　　正如导演在开篇所言：由一无所有，到冷暖自知，到黑色梦中，大陆的第一代摇滚乐手创造出如流星闪耀的理想年代，旋即遇上MP3和商业主义的大环境，超女也来了，第一代也成为被背弃的一代。但崔健、窦唯、何勇、张楚这群孤独的人一点也不可耻，经历了理想破灭，过来人道出时代的精神状貌；他们如今还是不折不扣完整的音乐家，走在上帝保佑吃饱了饭的人民之前。	http://movie.douban.com/subject/3629235/	
美国：从自由到法西斯主义 America: Freedom to Fascism	2006	纪录片	美国	95	8.1	1345	　　通过与美国政客和税务官员的采访，这一纪录片曝光了那些政府机构削弱美国公民自由权益的内幕。　　Aaron Russo本人创作、制作以及执导了这一影片，该片的结论是，并没有法律要求公民支付劳动所得的直接所得税。这部影片将联邦收入税、选民欺诈、国家范围的身份证制度以及为了跟踪民众而采取的无线电频率确认技术这些话题连成一串，影片既没有明显地倾向左翼也没有倾向右翼，只是暗示美国政府正在演变成一个无事不管的警察。	http://movie.douban.com/subject/2141884/	
西藏一年 A Year in Tibet	2008	纪录片	英国	-9999	8.7	2112	　　本部电视纪录片以西藏第三大城镇江孜为拍摄地点，将目光对准最为普通的民众，跟拍八位普通藏族人一年四季的生活，记录并讲述了他们生活中包括劳作、诵经、婚恋、庆生等点点滴滴的生活故事。本纪录片由《夏末》、《秋》、《冬》、《冬末》和《春》五集组成，每集由三个主要人物在这个季节里发生的最朴素、最真实、最生动的生活故事组成。诚如影片拍摄者所言“这就是西藏人的生活、信仰和困惑”。　　由中国藏学研究中心和北京地平线文化传播公司联合制作的五集电视纪录片《西藏一年》，在英国广播公司首播，之后美国、加拿大、德国以及中东、拉美等40多个国家和地区的主流电视台均订购与播放本片，受到了西方观众的认可和欢迎。本片的同名书籍也被翻译成多种语言出版发行。	http://movie.douban.com/subject/3175819/	
无粮的土地 Las Hurdes	1933	纪录片/短片	西班牙		8.0	675	　　本片是西班牙超现实主义电影导演路易斯•布努埃尔的唯一一部纪录片，描绘了位于西班牙中西部山脉地带拉斯赫德斯（Las Hurdes）的生活状态。该地区道路崎岖出行困难，拉斯赫德斯人几乎生活在一种原始赤贫状态中，缺吃少穿，没有基本的卫生概念，疾病流行，死亡阴影挥之不去。　　本片在 1933年西班牙试映后被禁，直到1937年西班牙内战期间才于巴黎正式公映。巴黎公映的解说词由布努埃尔和皮埃尔•乌尼克（Pierre Unik）共同创作，布努埃尔本人现场讲解，配乐为勃拉姆斯第四交响曲。	http://movie.douban.com/subject/1401595/	
人体内旅行 Inside the Living Body	2007	纪录片	美国	90	9.2	2380	　　从我们的第一声啼哭到最后一次呼吸，我们的身体正经历着不断的微妙变化。我们的每一个本能动作以及从外界受到的每一次刺激，都通过我们的皮肤、骨骼、器官、肌肉以及细胞得以体现。我们一生中平均呼吸7亿次，成年人的骨架每7-10年更换一次，身体每分钟会死掉3万个皮肤细胞，我们吃下的食物从口至肛门要经历9米的旅程。这些看似稀松平常的细微瞬间，其实都是我们赖以生存的生物系统奇妙的变化过程。　　现在，国家地理频道（NGC）将采用显微摄影技术、先进的医学技术和心脏断层（CT）显像技术，带领你一起进入人体的肌肤深处，与你一同见证我们从幼年、青年、成年到老年过程中，人体是如何运作、成长和成熟的。	http://movie.douban.com/subject/3442857/	
篮球梦 Hoop Dreams	1994	剧情/纪录片/运动	美国	170	8.6	608	　　此片花费六年的时间拍摄，讲述两个来自芝加哥贫民区的黑人少年追逐篮球梦的过程。他们具有非凡的篮球才能，却只能在街头篮球赛中大展身手。直到被一名星探发现，他们的人生才似乎有了转机，但其中的一人却还是因为膝伤而毁灭了多年梦想，另一个则进了大学离梦想靠近。除了是一部成功的运动纪录片外，本片还探讨了美国根深蒂固的种族问题，向人们展示了年轻的黑人为生存而奋斗的艰苦。本片获得了包括了国际纪录片联合会大奖在内的12项大奖。	http://movie.douban.com/subject/1297797/	
科伦拜校园事件 Bowling for Columbine	2002	纪录片/历史	加拿大 / 美国 / 德国	120	8.6	3278	　　这部记录片拍摄的起因是美国哥伦比亚中学的校园枪击事件。纪录片人摩尔着眼于大屠杀的背景、环境以及公众对这个事件反应，深入到美国暴力事件的本质，把枪支作为一种符号来探讨美国自由和自我毁灭之间的联系与矛盾。　　摩尔通过与南方公园作者Matt Stone、美国枪支协会时任主席Charlton Heston和音乐人Marilyn Manson等人的互动，逐步揭示出科伦拜恩大屠杀发生和美国高暴力犯罪的根源。	http://movie.douban.com/subject/1297112/	
细细的蓝线 The Thin Blue Line	1988	悬疑/纪录片/犯罪	美国	103	8.1	1134	　　本片采用了事件重现的方法再现了1976年美国得克萨斯州达拉斯市一起枪杀警察案。导演埃罗尔•莫里斯（Errol Morris）11年后采访了被判死刑、后转终身监禁的犯罪嫌疑人兰道•亚当姆斯（Randall Adams）、指证亚当姆斯的惯犯大卫•哈里斯（David Harris）、当年案件审判的三位证人米勒夫妇和麦克•兰道（Michael Randall），以及参与此案侦破与审判的警察、法官与律师们。通过不同人物对案件发生情形不同角度的描述，莫里斯成功证实了亚当姆斯的冤屈，并借片中一位公诉员之口点名警察是区分一个民主社会与极权的“细蓝线”。　　此片的公映在美国引起极大反响。德克萨斯罪犯申诉庭推翻了对亚当姆斯的判决。由于达拉斯拒绝对此案进行重审，亚当姆斯终于1989年被无罪释放，后成为积极反对死刑的社会活动家。本片也成为美国纪录片史上极为重要的一部，赢得国际...	http://movie.douban.com/subject/1296388/	
推销员 Salesman	1968	纪录片	美国	85	8.0	667	　　本片追踪四个“美中圣经公司”的销售代表在波士顿与佛罗里达销售区域工作的情形。保罗是本片的焦点，他挣扎于生存的两难境地，却一直充满乐观，运用各种或哄或骗的技巧来推销《圣经》。	http://movie.douban.com/subject/1395036/	
北方的纳努克 Nanook of the North	1922	纪录片	美国 / 法国	79	8.5	4981	　　本片是享有“纪录片之父”声誉的美国纪录片导演罗伯特•弗拉哈迪的第一部纪录片电影，记录了加拿大魁北克省北极圈内哈德逊湾的伊努朱亚克附近因纽特人首领纳努克一家人从1920年8月到1921年8月期间的日常生活，包括与白人交易、捉鱼、捕猎海象海豹、灶火烹饪，以及建筑冰屋的场景，开创了人类学社会影像记录的起点。弗拉哈迪在本片中的摆拍和场景重现曾引起广泛争议，比如隐瞒纳努克平时用猎枪狩猎的事实，刻意表现因纽特人的传统鱼叉狩猎法；又比如为了拍摄冰屋内纳努克一家清早起身的场景，去掉一半冰屋采光等。　　本片是历史上第一部全长纪录片，于1989年被美国国会图书馆选入“国家电影记录册”。	http://movie.douban.com/subject/1292735/	
美国哈兰县 Harlan County, U.S.A.	1976	纪录片	美国	103	8.8	491	　　简介：该片以真实电影的手法描绘哈连郡矿场的罢工事件，是劳工议题电影中的经典之作。导演曾跟随梅索兄弟多年，协助录音并学习拍片，后开始从事独立拍片的工作，至今已三十年。	http://movie.douban.com/subject/1294724/	
灰色花园 Grey Gardens	1975	纪录片	美国	100	8.3	1719	　　灰色花园（Grey Gardens）以七个月的时间贴身记录了杰奎琳肯尼迪一对远亲母女纠葛的关系，导演拍摄两人喂猫、喂浣熊、吃饭、回忆往事和彼此埋怨。观众对她们的实际背景所知不多，却可以透过影片内容，极生动地见识到这两人的性格及互动，所谓真实电影的长处与局限，在本片中皆表露无遗……	http://movie.douban.com/subject/1419111/	
克鲁伯 Crumb	1994	纪录片/传记	美国	119	8.4	479	　　罗伯特·克鲁伯是一位著名的另类漫画大师，他创造出的《怪猫菲力兹》更是首部限制级动画片。影片回顾了漫画大师的一生，采访了他的母亲、两个兄弟、妻子以及前女友等人，并挑选了他大量画作中的经典部分欣赏，一副副针砭时弊的的作品不断出自他的笔尖。　　史上最佳20部纪录片之一。片子制作人是大卫林奇。　　本片获 ：1995年 国际纪录片协会最佳纪录片大奖　　1995年 圣丹斯电影节评委会大奖，摄影奖　　1995年 纽约影评人协会最佳纪录片奖　　1995年 全美影评人协会最佳纪录片奖　　1995年 美国国家评论协会影评人协会最佳纪录片奖　　1996年 美国导演协会最佳纪录片奖	http://movie.douban.com/subject/1418091/	
给我庇护 Gimme Shelter	1970	纪录片/音乐/历史	美国	91	8.4	695	　　1969年 Woodstock音乐节四个月之后，发生了一次名气远在前者之下、但就意义与成就来说不遑多让的枪杀事件。这部电影就是记录这次事件的。这支乐队可以说是20世纪60年代摇滚的终结者，当然它的表面现象是1969年12月。当时，在美国有大量乐迷的Rolling Stones乐队在美国加州奥德蒙举行一场免费演唱会，当天有40万观众来到现场，但悲剧发生了，被聘来维持秩序的飞车党在演唱会上演了暴力的场面，一名观众被追杀而死。这部又名《让我躲藏》的纪录片记下了“滚石”乐队最值得珍藏的瞬间，也记下了“地狱天使”的凶猛身影，本来是来维持秩序的他们最终却与部分观众大打出手，让20世纪60年代爱与和平的聚会的巨大神话在瞬间倒塌，正因为这些无比真实的镜头，这部电影在摇滚文献中的重要性非同一般。	http://movie.douban.com/subject/1419271/	
提提卡失序记事 Titicut Follies	1967	剧情/纪录片	美国	84	8.2	431	　　1967年拍得美国纪实片，片长84分钟，提提卡蠢事 Titicut Follies ，还被翻成《提提卡失序记事》《蒂蒂喀特轻松歌舞剧》　　这部精神病监狱实录，公开放映之前必须获得狱方主管的批准，因为暴露出太多的阴暗面而通不过狱方的审查。　　记录了精神病人倍受误解和虐待的可怕时期。导演用手提摄象机营造了亲临地狱的感觉，眼睁睁的看着自己的同类仅是由于别人的误解或自身精神问题而完全丧失做人的基本权利。	http://movie.douban.com/subject/1421822/	
浩劫 Shoah	1985	纪录片/历史/战争	法国	566	8.9	734	　　《浩劫》（SHOAR）　　导演：克罗德 朗兹曼　　出品：法国，1985　　片长：9小时　　摄影：多米尼克 沙皮，吉米 格拉斯伯格， 威廉 吕昌斯基　　录音：贝尔纳 奥布依　　剪接：兹娃 泊斯泰克，安娜 鲁伊斯　　[剧情简介]　　本片探讨二战期间欧洲的犹太人大灭绝，这部主题、形式、范围均博大宽广的电影巨著，是我们每个人应当看的作品。　　从记忆和历史的角度看，《浩劫》与其它反映犹太人大灭绝的作品相比，在证词的强烈程度和历史的严谨上高出一筹。　　克罗德 朗兹曼在13年间经常寻找事件和地点的真相。　　《浩劫》既是出色的历史文献，详尽描绘着纳粹灭绝机器，也是一首长长的诔词，将观众带入形而上的体验，带到野蛮的根源。　　《浩劫》包涵着庞大的记者工作，在调查和采访方面堪称典范，但它又不只是报道。它同时也是电影巨著（尤其是其剪接），将数十个小时的采访以相互回答、相互碰撞、相互衔接的方式组接起...	http://movie.douban.com/subject/1303328/	
东京奥林匹克 東京オリンピック	1965	纪录片/运动	日本	170	8.3	383		http://movie.douban.com/subject/1301138/	
流言终结者 第一季 MythBusters Season 1	2003	喜剧/悬疑/纪录片	美国	-9999	9.3	2213	　　一个由澳大利亚电视制作人Peter Rees开创的Discovery Channel电视系列。他发掘了主创的Jamie和Adam二人组。这是一个记录片形式的电视系列剧，大概可以划到&quot;揭密/科学试验/特技&quot;一类。由主持人Jamie和Adam两人为观众揭露/戳穿当代街头巷尾流传的各种“神话”的秘密。　　每一集的内容包含3个“神话”，内容包括各种互联网上的谣传，一些在社会上广为流传的伪“常识”，历史事件等等，但更多的还是与好莱坞电影上常见的一些镜头有关。比如：在加油站打手机到底会不会引发爆炸；电影里面的人被一群匪徒追杀，跳到水里就不会被子弹打伤，这是否可信；传说中杀人不留痕迹的“冰子弹”到底是否可行；富兰克林的风筝实验是否真实；人的叫声能否击碎玻璃；（像电影上那样）开枪能否把门锁打烂……等等。　　每期节目的最后会对每个“神话”题目给出“Busted（被揭穿）”...	http://movie.douban.com/subject/2073800/	
灰熊人 Grizzly Man	2005	纪录片/传记	美国		8.2	2471	　　本纪录片取材于野生动物保护主义者蒂莫西·崔德威尔（Timothy Treadwell）1999～2003年在美国阿拉斯加州卡特迈国家公园及自然保护区所拍摄的素材。崔德威尔从1989年起致力于野生灰熊的研究和保护，并与朋友成立了“熊人协会”，每年夏天来到卡特迈独自野营，观察记录灰熊的生活习性，并义务对数千名学童进行讲解，呼吁社会打击偷猎，关注、保护灰熊。导演沃纳·赫尔佐格（Werner Herzog）探访了崔德威尔的父母和前女友，并对2003年10月崔德威尔及女友艾米·胡格纳德（Amie Huguenard） 之死的细节进行了细致采访描绘，试图在展示崔德威尔非凡经历的同时，回答究竟是什么使他选择远离人类放逐荒野，将生命献给灰熊。　　本片获圣丹斯电影节纪录片评审团大奖提名及艾尔弗·斯隆奖，并获2005年独立精神奖、洛杉矶影评人协会、纽约影评人协会、美国国家...	http://movie.douban.com/subject/1422951/	
海豚 Dolphins	2000	纪录片/短片	美国	39	8.6	102	　　本片获第73届奥斯卡金像奖最佳纪录短片	http://movie.douban.com/subject/2035152/	
漫漫长路 Long Way Round	2004	纪录片/冒险	英国	-9999	9.3	418	　　This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.	http://movie.douban.com/subject/1494797/	
长路迢迢 Long Way Down	2007	纪录片	英国	-9999	9.3	571	　　Ewan McGregor和好友Charley Boorman的摩托旅行电视纪录片《LONG WAY DOWN》于英国时间12月3日发售。从Amazon订购　　“Long Way Down是一次惊叹的旅程，我们能够经历这些风格迥异的美丽的地方，实在是真正的特权。”Ewan抵达开普敦后，回顾整个旅程时说道。　　2007年5月，他们驾驶着BMW R1200GS摩托，从英国的最北端，苏格兰的John O’Groats出发，历时3个月，超过24140千米，穿越18个国家，于2007年8月5日到达南非开普敦，非洲大陆的最南端Milnerton。　　此次伟大的行程，两人也担负着为UNICEF（ 联合国儿童基金会）、CHAS（苏格兰儿童收容所）和Riders for Health三个公益组织宣传和筹款的义务。　　虽然他们遭遇了比三年前“Long Way Round”更艰难...	http://movie.douban.com/subject/2367101/	
拾穗者 Les glaneurs et la glaneuse	2000	纪录片	法国	82	8.7	1207	　　1998年12月至1999年4月，年过七旬的阿涅斯·瓦尔达带着数码摄像机在法国的城市和乡村“闲逛”的过程中，拍摄了一些关于当今时代法国拾荒者们的影像：流浪汉和生活贫困的人为维持生计拣拾各种生活必需品，艺术家们从废铜烂铁堆里寻找创造艺术作品的原料，喜欢拾荒的人的动机是出于反对浪费的品德。除了拾荒，影片还有一条游离于主线之外的副线，表现了一些表面看来与拾荒毫不相干、其实关系密切的人和事，比如采访一位兼做心理医生的葡萄园主，与发明电影的先驱者之一马莱的后代谈论电影问题。此外，本片还是一幅影片作者的自画像，瓦尔达不时从镜头后面走到镜头前面，即使当她在镜头后面时也有意地适度表现自己，而且有些镜头是她亲自拍摄的。　　这部受19世纪法国画家米勒的名画《拾穗者》启发而拍摄的纪录片，描绘了法国当今时代的拾荒者形象。在瓦尔达看来，形形色色的拾荒者大致分为三类：“有些人拾荒...	http://movie.douban.com/subject/1301279/	
