标题	年份	类型	国家	时长	评分	人数	概括	链接
听风的歌 Heima	2007	纪录片/音乐	冰岛		9.1	7333	　　音乐纪录片《听风的歌》用诗意的镜头和绝美的音乐，记录了冰岛著名后摇乐队Sigur Rós在家乡冰岛小镇上举办的一系列免费演出。一首连着一首的灵魂乐音，飘荡在不论是教堂、废弃工厂、小镇的表演厅还是在空旷无人的荒野寂境。钢琴，木吉他，木贝司，敲击板，提琴，小号，甚至是石块之间的撞击声，这些原始的音色都在Sigur Rós创作下，编织出最接近自然与家乡气息的感觉，打动着上至老人下至孩童的人们或驱车或徒步地纷纷赶往演出场地，将自身放逐在冰岛的边疆。　　本片是Sigur Rós首部官方电影，交织表演实况与团员访谈，纪录了令人动容的归乡旅程。Heima，冰岛语中意思是“回家”。本片正是2006年夏天，Sigur Rós结束了为期一年的世界巡回演出之后的回归之作。	http://movie.douban.com/subject/2240990/	
平衡	2000	纪录片/西部	中国大陆	69	9.3	2828	　　《平衡》是近几年来国内比较优秀的纪录片，一部现实主义作品，作者彭辉用了3年时间来记录，又浓缩在70分钟内播出，使大家感受到了时间空间和事件的震撼力，这是时空张力和对客观再现的综合表现。此片获得中国电视纪录片的最高奖项：金鹰奖最佳长篇纪录片奖。　　全片没有一句解说词，这在其他纪录片中是不多见的。而事实上，在这部纪录片中，解说词也是多余的。开头为我们展现了广袤的青藏高原，接着是巍巍的昆仑山脉，最后出现在屏幕上的是“可可西里”无人区，也就是本片拍摄地点。奔跑着的藏羚羊，滑翔着的斑头雁，寥寥几笔为观众点出了这个世界第三大无人区，野生动物的天堂，更是藏羚羊家园的“可可西里”。以此作为之后片中表现“西部野牦牛队” 保护藏羚羊及其他种种问题设下铺垫。没有多余的画面与解释，简洁有力而大气。　　片中使用了少量音乐，大多是自然音响。风声贯穿全片，在平均海拔5000米的高原上...	http://movie.douban.com/subject/1958031/	
幼儿园	2004	纪录片	中国大陆	-9999	8.8	20908	　　湖北武汉一家全托制寄宿幼儿园，一群天真无邪的可爱孩子在镜头前展现他们最真实的一面。他们会为了对父母的依恋而大声哭闹、会为了和小朋友偶然的争执大打出手、会为了穿不上衣服以及摆不好椅子而脾气大发、也会为了星期四和星期五的先后顺序讨论不休。孩子的心中没有对错，就如同一张等待书写的白纸却又不可避免地被强加了许多来自大人的既定价值观。孩子无所顾忌的言语，似乎也折射出一些不难捉摸的意味……　　本片2001年5月开始筹拍，经过3、4个月观察和准备于当年9月正式拍摄，历时14个月前期拍摄工作结束，于2004年3月正式完成后期制作，影片荣获第十届上海国际电视节最佳人文纪录片创意奖、2004年广州国际纪录片大会纪录片大奖。	http://movie.douban.com/subject/1761172/	
请为我投票 Please Vote for Me	2007	纪录片	中国大陆 / 南非 / 丹麦	58	8.5	13199	　　湖北武汉常青第一小学，三年一班的班主任为了让学生们理解民主的含义，于是在班中组织了一次班长的民主选举活动。候选者总共有三人：成成，一个胖乎乎的小男孩，颇有心计的他在这次选举中不遗余力，志在必得；罗雷，作为这个班的前任班长，他有着根深蒂固的威信和指挥力；许晓菲，三个候选人中唯一的女孩，乖乖女甚至爱哭鼻子，似乎是最没有竞争力的候选人。三个孩子围绕班长的职位展开竞争，在这一过程中同学和家长也不可避免地卷了进来……　　本片荣获2008年亚什兰独立电影节最佳纪录片奖、2008年芝加哥国际儿童电影节成人评委会金奖以及儿童评委会第二名。	http://movie.douban.com/subject/2267155/	
高三	2005	纪录片	中国大陆	95	8.4	22739	　　本片纪录了中国福建省一所普通中学一个高三毕业班的真实生活。高三的生活日复一日，简单而又沉重，痛苦却也快乐。　　善良严厉的班主任，紧张刻苦的尖子生，逃避生活的“差生”，执着爱情的“早恋生”，学生的父母，每个亲历高三的人都有各自的感悟和超越高三的期望。影片的纪录真实、直白，透过高三生活的纪录，让人感到的不仅仅是为理想执着拼搏的浪漫，更有一种如鲠在喉的悲哀。	http://movie.douban.com/subject/1761854/	
好死不如赖活着	2003	纪录片	中国大陆	88	8.4	3597	　　本部纪录片直击“艾滋病”这个敏感而恐怖的话题，以跟踪拍摄被感染的马深义一家为整条线索，赤裸裸的向我们诉说着，这个家庭面对生死的生活原态和他们的心路。上世纪90年代，在河南省南部的一些乡村中，很多村民在卖血脱贫的鼓惑中，因为卖血感染了艾滋病。马深义一家就住在文楼村。一家五口，除了大女儿马宁宁以外，整个家庭都是艾滋病的受害者。纪录片从2001年的春末夏初开始，历经盛夏、深秋、严冬，一直到春节，讲述艾滋病带给整个家庭的这场灾难。　　本片荣获2003年圣丹斯电影节世界纪录片提名、2003年阿姆斯特丹纪录片电影节最高竞赛单元提名、2004年美国广播电视文化成就奖和2004年英国国家最佳纪录片奖。	http://movie.douban.com/subject/1578723/	
中国 Chung Kuo - Cina	1972	纪录片	意大利	207	8.5	11097	　　这部拍摄于中国文革时期的纪录片分为三个部分。　　第一部分是导演在北京对一些场景的捕捉，有著名的天安门广场、长城、故宫、王府井，有中国政府安排的参加小学可见课间活动、医院的针灸生产、工厂的工人家庭生活、生产合作社的状况等。　　第二部分是导演被安排去河南林县参观红旗渠、集体农庄，古城苏州和南京，但他却将大量的篇幅放在了随意观察的中国人的面孔上。　　第三部分是导演对上海的短暂观察，从街景到中国共产党诞生地，从新建的居民楼到殖民地时期的滚地龙，从茶馆到大工厂，从外滩到黄浦江上的船户，相对客观地反映了当时上海民众的生活。	http://movie.douban.com/subject/1292327/	
中国革命：1911年至1949年 China in Revolution: 1911-1949	1989	纪录片/历史	美国 / 英国	113	8.9	2110		http://movie.douban.com/subject/2042115/	
铁西区第一部分：工厂	2003	纪录片	中国大陆	240	8.3	1885	　　中国重工业基地沈阳一家大型工厂，工人在破败的休息室休息过后，摄影机随他们来到同样破败的浴室，安静地听完他们对生活的各类调侃（下流玩笑话、喝酒赌钱、某家工厂倒闭之后工人的出路等），又随他们来到车间，听到小组长宣布大伙明天全部下岗的消息。数月过去，有工人返回工厂找寻还可以卖钱的玩意。　　摄影机来到某家简陋的疗养院，这里躺着在工作时被污染了的该间工厂的工人，他们一个个百无聊赖，对着唯一的一台电视机或自己唱歌或看电视台放的歌舞晚会或看毛片，但无论何种“娱乐”，都无法令他们激动，他们基本上不再对生活有要求，关心的只是“公家”可以给多少抚恤金。	http://movie.douban.com/subject/1309215/	
铁西区第二部分：艳粉街	2003	纪录片	中国大陆	176	8.5	1250	　　1999年的冬天，即开式福利彩票喧闹的发行现场不远处，有人在拆除了平房后的地表挖出金属来卖。几个十几岁的艳粉街年青人，在即将动迁的居民区里无聊漫顾，他们有时聚集在小卖部里谈论感兴趣的女孩或者其他话题，有时为女孩在寒冬中瑟瑟发抖的等待。这个冬天里，大部分艳粉街的家庭尚没有进入搬迁的实质阶段，年青人们仍然靠打架、聊天、游戏消磨度日，偶而也为工作的前途焦虑。随着越来越多的昔日邻居离开旧居，艳粉街失去了往日的格局，总有一些家庭为了切身的利益选择留下，2000年的冬天，一些年青人仍然重复着他们的生活，而遭遇断电断水的人们，开始为解决基本的生活需求而苦恼……　　本片是王兵《铁西区》系列纪录片的第二部。	http://movie.douban.com/subject/1309221/	
铁西区第三部分：铁路	2003	纪录片	中国大陆	135	8.5	1079	　　《铁路》长不足两个小时，主要片段是大段的火车穿越铁西区的空镜，穿过一个个工厂，穿过道路，大雪飞扬或烈日炎炎。铁路边的货场住着一对相濡以沫的父子。	http://movie.douban.com/subject/1309219/	
南京 Nanking	2007	纪录片/历史/战争	美国	88	8.2	14184	　　1937年12月，日本军队侵占南京，肆意屠杀手无寸铁的中国平民，二十万人成为冷血日军刀下亡魂，数以万计的妇女被强暴凌辱。影片采访了南京大屠杀期间，在南京的外国传教士、医生、记者，幸存的中国人，以及参加大屠杀的日本士兵，收集了珍贵的信件、日记、照片、影像资料，真实再现了1937年日本军队侵占南京期间犯下的种种暴行，客观地告诉世界：历史不容隐瞒和更改，南京大屠杀真实存在。	http://movie.douban.com/subject/1941283/	
张纯如——南京大屠杀 張純如	2008	纪录片	香港 / 加拿大	104	8.6	2595	　　美籍华裔作家张纯如（Iris Chang 1968.3.28—2004.11.9），在完成自己第一部作品《蚕丝》后，开始将目光着眼于发生在20世纪30年代末的那场惨绝人寰的大屠杀。1937年，日本侵华战争爆发，短短几个月内，中华大地狼烟滚滚，生灵涂炭。日军长驱直入，攻陷时为国民政府首都的南京，并对这座城市和城中的军民进行了丧失人性的洗劫和杀戮。这场超过30万人丧生的大屠杀，却在战后因种种原因而鲜为人知，甚至日方一再否认大屠杀的存在。　　为了还原历史，还受害者与公道，张纯如一面收集大量第三方资料，一面前往南京、上海等地与屠杀幸存者进行面对面的取证交谈，前后历经三年时间，终于在1997年南京大屠杀60周年之际推出《南京暴行》一书，使这段“被遗忘了的大屠杀”的历史为世人所知。　　2004年，张纯如在筹备第四部作品期间饮弹自杀。　　本片由多伦多史维会和大地娱乐（香...	http://movie.douban.com/subject/2305280/	
南京梦魇 The Rape of Nanking	2005	纪录片/战争/灾难	USA	77	8.3	1029		http://movie.douban.com/subject/1959281/	
圆明园	2006	纪录片	中国大陆	90	8.5	13975	　　◎简　　介　　有谁听过圆明园历史上最华彩的那段乐章？　　有谁见过圆明园历史上最宏丽的画卷？　　有谁亲身游历过那座精艳绝伦的“万园之园”？　　圆明园的历史不是从1860年开始的！　　圆明园不仅是一部中华的屈辱史，　　圆明园应是让国人更具民族自豪感的“万园之园”！　　圆明园自1707年建园至今，已有近300年的历史　　他不仅是一个城市的记忆，更是一个国家，一个民族的记忆。　　但记忆应该是完整的，而不留残缺的。　　圆明园大型史诗性数字电影为圆明园的历史填补空白。　　还世人一个完整，真实的圆明园！　　语言在这350公顷，三大主题园林区，百余处园林景观面前是苍白无力的　　高清晰，数字化技术再现了圆明园从建园，扩建，被毁的历史全过程　　绚丽的三维动画将一座恢弘壮阔的圆明园呈现，好似游历其中。　　与真实演员相结合的拍摄手法，使影片更具真实性。　　大型史诗性数字电影圆明园的真实，不仅是重现了圆明园...	http://movie.douban.com/subject/1863102/	
皮克斯动画短片史 The Pixar Shorts: A Short History	2007	纪录片/短片	美国	23	9.1	2297	　　关于皮克斯公司动画短片发展史的纪录片。	http://movie.douban.com/subject/2393064/	
大熊猫的生活 パンダフルライフ	2008	纪录片	日本	100	8.5	349	　　这是一部以熊猫为主角联系中日两国的纪录片。毛茸茸胖鼓鼓的熊猫似乎过着无忧无虑的生活，他们除了大嚼竹子、滚来滚去，就是呼呼大睡。然而，熊猫是度过了严酷的冰川期、延续了八百万年的物种。这部追拍了熊猫一年多的纪录片将展现出鲜为人知的熊猫的生活。　　影片的一个舞台是坐落在我国四川成都的熊猫繁育研究基地，在这里生活着八十多只熊猫。本片摄制组获得特许成了第一个进入产房拍摄熊猫育儿场面的外国团队。我们将能在片中看到熊猫宝宝一点点成长的历程。第二个舞台则是日本和歌山县的游乐园，这是世界上第一只自己哺育双胞胎儿子的熊猫妈妈美美的家。去年，美美的两个儿子四岁了，它们离开母亲和培育它们长大的饲养员们，乘坐飞机来到了成都的外婆家，重新开始新的生活……	http://movie.douban.com/subject/3003828/	
白色星球 La planète blanche	2006	纪录片	法国 / 加拿大		8.7	3214	　　The Arctic's changing seasons and the impact on the region's flora and fauna is studied in this nature documentary.	http://movie.douban.com/subject/1899767/	
