标题	年份	类型	国家	时长	评分	人数	概括	链接
不可饶恕 Unforgiven	1992	剧情/犯罪/西部	美国	131	8.4	22132	　　堪萨斯的农民威廉（克林特·伊斯特伍德 Clint Eastwood ）年轻时曾是出名的杀手和劫匪，然而当遇上了克劳迪亚后，他的生活开始彻底改变。威廉和克劳迪亚结婚生子后，洗手不干，一家人过着幸福的生活。好景不长，克劳迪亚不久故去，威廉独立带着两个孩子过着清贫宁静的生活。　　这时，该地区发生了一起牛仔醉酒殴打妓女并将其毁容的恶性事件，坏蛋警长达格特（吉恩·哈克曼 Gene Hackman 饰）只将此事草草了结，凶手仍逍遥法外。当地妓女纷纷捐钱，要求悬红1000美金请杀手来伸张正义。“思科菲尔德小子”找到威廉，要求合伙干这票买卖。为了给孩子们一个幸福富足的家庭，威廉终于答应再次出山。	http://movie.douban.com/subject/1293566/	
黑鹰坠落 Black Hawk Down	2001	剧情/动作/历史/战争	美国	144	8.4	73091	　　1992年，连年的部落战争令东非国家索马里山河破败，民不聊生，由此引发的大饥荒更造成三十万人死亡。掌控首都摩加迪休的独裁者默罕默德•法拉•艾迪德抢走国际组织的救援物资，此举引起世人公愤。丧心病狂的艾迪德向国际维和组织宣战，美国方面派出160名特种部队成员前往摩加迪休以推翻艾迪德政权。　　这群满腔热血的战士信心十足，然而却因情报搜集不足而使战事陷入胶着状态。在一次追捕艾迪德政权两大高官的行动中，特种部队受到索马里民兵的顽强抵抗。双方在市中心展开激烈对峙，美军一架黑鹰直升机受到攻击坠落市区，机组人员危在旦夕。为了营救同伴，一小队特种部队士兵深入虎穴。在接下来的15小时里，他们经历了人间最难以想象的修罗场……	http://movie.douban.com/subject/1291824/	
廊桥遗梦 The Bridges of Madison County	1995	剧情/爱情	美国	135	8.5	64511	　　弗朗西斯卡（Meryl Streep 饰）的子女翻看母亲的旧信，揭开了母亲生前不为人知的一段动人感情。1965年的一天，弗朗西斯卡独自在家，最后一个牛仔——摄影记者罗伯特•金凯（Clint Eastwood 饰）把车停在她门口，向她打听曼迪逊桥的所在。她带他来到桥边，完成工作 后他送她一把野菊花表示谢意。她的心中荡漾起难以言喻的滋味。她将一张纸条订在桥头，邀请他共进晚餐。欣然前来的他与她度过了美妙的一晚。此后2天二人整天厮守。　　但是弗朗西斯卡割舍不下孩子和世俗的幸福，罗伯特最终独自上路。几年后二人在超市门口有过短暂的一瞥，当时弗朗西斯卡强忍奔上前去的冲动，漫天的雨成了他们诀别的泪。　　1982年3月，她知道了罗伯特的死讯。在生命的最后旅程，她立下遗嘱：要子女们将自己的骨灰撒在曼迪逊桥畔，生前她把所有的时光都留给了家庭，但求死后能永远依偎在爱人的身边。	http://movie.douban.com/subject/1293929/	
回到未来 Back to the Future	1985	科幻/家庭/冒险	美国	116	8.4	45276	　　布朗博士（克里斯托弗•洛伊德 Christopher Lloyd 饰）总是有些稀奇古怪的发明。在一次试验他发明的时光机器时，他找来了忘年交高中生马丁（迈克尔•J•福克斯 Michael J. Fox 饰）。岂料实验过程中博士被歹徒杀害了，马丁慌乱中架着时光机逃跑，回到了30年前。　　马丁遇到了30年前的父亲乔治（克利斯丁•格拉夫 Crispin Glover 饰）和母亲洛莲（莉•汤普森 Lea Thompson 饰）。马丁一边找寻30年前的布朗博士，好让自己回到未来；一边尽力撮合乔治和洛莲，以免自己在以后消失了。但乔治为人懦弱，马丁在撮合过程中弄巧成拙让洛莲爱上了自己。还有令人讨厌的贝夫从中作梗，令马丁恼怒不已。　　马丁周旋在他的双亲之间，还要尽快找到博士，想办法回到未来……	http://movie.douban.com/subject/1300555/	
摔角王 The Wrestler	2008	剧情/运动	美国 / 法国	109	8.3	26655	　　绰号“大锤”的兰迪•罗宾森（Mickey Rourke 米基•洛克 饰）是上世纪80年代美国独立摔角圈中一颗耀眼的明星，他留下了无数经典的比赛，其绝招“大锤粉碎压”更虏获众多狂热的摔角爱好者。　　但随着行业的飞速发展和身体健康状况的下降，属于“大锤”的时代早已远去。出于对摔角的热爱，兰迪始终没有离开这个圈子，他忍受着生活拮据，忍受着伤痛困扰，只为了和陪伴多年的摔角迷们享受每一次秀所带来的莫大快乐。他固执地追逐着最后一丝荣光，私人生活却越来越糟。长年奔波以致和女儿斯蒂芬妮（Evan Rachel Wood 埃文•蕾切尔•伍德 饰）的关系疏远，剧烈的撞击和不断摄取处方药又令他的心脏接近崩溃边缘。孤独的他只能在每次艰苦的比赛之后，从脱衣舞女卡西迪（Marisa Tomei 玛丽莎•托梅 饰）那里得到些许短暂的安慰。　　因身体的原因，兰迪决定退出摔角圈，做一份稳...	http://movie.douban.com/subject/3007826/	
致命ID Identity	2003	剧情/悬疑/惊悚	美国	90	8.5	201935	　　一个典型而又引人入胜的悬疑故事：一个汽车旅馆里，住进了10个人，他们中间有司机、妓女、过气女星、夫妇、警探和他的犯人，还有神秘的旅馆经理。这天风雨大作，通讯中断，10人被困在了旅馆里，惊悚的故事开始了。　　他们一个接一个的死去，并且按照顺序留下牌号。10个人存活下来的渐渐变少，他们开始恐慌，互相猜忌，却无意间发现了彼此间的联系。但是，大家怀疑的嫌疑人却纷纷死去，谜团笼罩在旅馆狭小的空间里，这样的凶杀案件却有着人们猜不到的真相……	http://movie.douban.com/subject/1297192/	
换子疑云 Changeling	2008	剧情/悬疑/惊悚	美国	141	8.3	76118	　　1928年美国洛杉矶，在电话局接线台工作的克莉斯汀•柯林斯（Angelina Jolie 安吉莉娜•朱丽 饰）独自抚养儿子沃特（Gattlin Griffith 加特林•格里菲斯 饰），母子的生活简单而幸福。然而她们的生活很快被打乱，某天当克莉斯汀下班后，发现儿子不见踪影。　　在公众的舆论压力下，腐败的洛杉矶警方于5个月后找回沃特，但克莉斯汀发现这并非自己的亲生儿子。她三番五次要求警方澄清事实，帮其寻找真正的沃特，却一次次受到阻挠和指责，甚至以妨碍警方公务的罪名被送入精神病院。一向以揭露警方暴行为己任的牧师古斯塔夫•布里格拉伯（John Malkovich 约翰•马尔科维奇 饰），为了这个可怜女人的不幸遭遇奔走呼告。　　另一方面，探员莱斯特（Michael Kelly 饰）在侦办一件偷渡案时，无意中发现了一起重大的连环儿童杀人案。少年沃特的失踪案似乎渐露...	http://movie.douban.com/subject/2028666/	
铁拳男人 Cinderella Man	2005	剧情/家庭/传记/运动	美国	144	8.6	19844	　　布洛克（罗素·克劳 Russell Crowe 饰）除了是一名过气的拳击手，还是三个孩子的父亲。当他的拳击生涯走下坡路后，紧接着而来的是生活的拮据和入不敷出的家庭状况。幸好有贤惠美丽的妻子梅（芮妮·齐薇格 Renée Zellweger 饰）理解支持，她的从不埋怨和勤劳持家，令这个家庭不至于毫无生机。布洛克放下自尊去排队领取救济金，却挡不住严冬的即将来临，家里食物短缺，生存问题迫在眉睫。　　布洛克终于决定重上拳击台，这是他可以挽救家人的唯一办法。他的复出引来了民众的关注，成为了人们心中的平民英雄。他在比赛中英勇挥拳，为了男人的尊严，为了家人的生存。	http://movie.douban.com/subject/1418519/	
细路祥 細路祥	1999	剧情	香港	101	8.5	6268	　　细路祥（姚月明 Yuet-Ming Yiu  饰）6岁了，他有一个嗜酒的父亲，一个好赌的母亲，一个深居简出的奶奶，还有一个被妈妈赶出了家门、从未见过的哥哥。　　细路祥家中经营茶楼，这天来了一个6岁的送外卖女孩阿芬。父亲不愿收下，把阿芬赶了出去，细路路祥暗中找到阿芬，和她一同送外卖，一同分享小费。二人有了童真的感情。　　细路祥向父亲打听哥哥下落，被父亲痛打一顿。这时阿芬也被发现了偷渡客的身份，被遣返大陆。九七临近，香港人的生活仍然是家长里短，琐碎八卦。细路祥听说奶奶和一个粤剧大师曾经有过一段旧情，自称奶奶男友的海叔有一个儿子，对细路祥特别好。　　日子就这样无惊无险的过。九七了。	http://movie.douban.com/subject/1304758/	
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl	2003	动作/奇幻/冒险	美国	143	8.5	235712	　　故事发生在17世纪，传说中海盗最为活跃的加勒比海。风趣迷人的杰克•斯伯洛（强尼•戴普 饰），是活跃在加勒比海上的海盗，拥有属于自己的“黑珍珠”号海盗船。对他来说，最惬意的生活就是驾驶着“黑珍珠”号在加勒比海上游荡，自由自在的打劫过往船只。但不幸的是，他的仇敌，老谋深算的巴尔巴罗萨船长(杰弗里•拉什 饰)偷走了他的“黑珍珠”号。巴伯萨是一个无恶不作的坏蛋，他抢劫了杰克的&quot;黑珍珠号&quot;后，更加猖狂，在加勒比海上横行霸道，一时成为整个加勒比海的霸主。　　一次，巴伯萨一伙袭击了罗亚尔港小镇，并绑架了还绑架了总督的女儿伊莉莎白•斯万(凯拉•奈特丽 饰)和伊莉莎白青梅竹马的铁匠学徒威尔•特纳（奥兰多•布鲁姆 饰），想方设法救出了狱中的船长杰克，偷来英国皇家舰队最快的&quot;拦截号&quot;军舰迅速向&quot;黑珍珠&quot;追去。　　在打斗中，威尔和杰克发现，巴尔巴罗萨和他的海盗们身背着咒语，在每...	http://movie.douban.com/subject/1298070/	
