标题	年份	类型	国家	时长	评分	人数	概括	链接
正午 High Noon	1952	剧情/西部	美国	85	8.3	7450	　　小镇执法官威尔·凯恩（加里·库柏 Gary Cooper 饰）在卸任的当天，同未婚妻艾米（Grace Kelly 饰）举行了婚礼，两人预备开始蜜月旅行的当口，小镇迎来了三位不速之客，他们是皮尔斯、科比和本，三人在火车站等候五年前被威尔抓获的恶棍弗兰克·米勒。预感小镇将被卷入一场血腥仇杀的人们纷纷躲避，或者力劝威尔离开，但前任执法官执意留下，并开始在镇上寻找帮手，岂料不得升迁的员警哈维、当年审判弗兰克的法官等人全部与此事撇清了关系，新婚妻子亦不支持威尔的坚守，孤立无援的威尔只得拿起自己的枪战斗……　　这部影片中的时间与真实世界中的时间步调一致。本片获1953年奥斯卡最佳男主角奖等十余项专业褒奖。	http://movie.douban.com/subject/1298521/	
自由作家 Freedom Writers	2007	剧情/传记/犯罪	美国 / 德国	123	8.5	9208	　　爱林（希拉里·斯万克 Hilary Swank饰）从事的第一份教育工作，就是在威尔逊学校一个糟糕透顶的班级里担任老师。这里有着给老师们带来噩梦的学生：他们虚度光阴，消磨时辰，把学校当成18岁之前的游乐场；更混乱的是，学生们来自社会里的不同种族和各类底层阶级，分帮结派互相斗殴。　　爱林想方设法让仇恨远离孩子们的心，消解他们之间的敌意，可是，作为一名白人老师，孩子们对她树起了重重心墙，爱林的教育理想在现实中一次又一次地碰壁。　　孩子们跌入深渊的心灵是否无药可救，他们的未来能否在爱林的循循教导下重现曙光，爱林的肩上承着千斤重担，她只有一本或者可以感化孩子的《安妮日记》，以及一颗热忱真诚的心，带领迷失的孩子找到明灯。	http://movie.douban.com/subject/1945253/	
秘密花园 The Secret Garden	1993	剧情/家庭/奇幻	美国	101	8.4	4650	　　孩子眼中的世界在这部电影里美妙的展开，父母双亡的小玛丽（凯特·马伯里 Kate Maberly饰）来到苏格兰的亲戚家住了下来。这是个美丽而又有点神秘的庄园，尤其是秘密花园更是玛丽心中的一个大谜团。原来，玛丽的姨母曾经在自己这个花园的千秋上丧命，姨父便从此紧锁了花园大门。　　无意中发现了钥匙的玛丽打开了花园的大门。从此，花园成为了玛丽与大自然水乳交融的圣地。玛丽还带上了长期坐在轮椅上的表弟科林（海登·普劳斯 Heydon Prowse饰），他本来封闭的视野在神奇的大自然面前变得豁然开朗，而朋友迪康（安德鲁诺特 Andrew Knott饰）更是在这里和他的鸟儿朋友们聊天，秘密花园的大门就这样通向了孩子们心中的天堂……	http://movie.douban.com/subject/1302133/	
十月的天空 October Sky	1999	剧情/家庭/传记	美国	108	8.6	10523	　　本片根据真实故事改编。　　1957年，苏联卫星发射成功，美国民众萌发了危机意识。一个矿井小镇的普通高中生霍默（杰克·吉伦哈尔 Jake Gyllenhaal 饰）此刻却为自己的未来忧虑，他在球队选拔中落选，而体魄强健的哥哥一直更受父亲约翰（克里斯·库珀 Chris Cooper 饰）认可，不甘于平庸的霍默萌生了制作火箭的想法，在老师和朋友们的支持下，霍默全身心投入了研究，老师更带来了他可以通过火箭制作进入大学学习的机会。而另一方面，身为矿井负责人的约翰希望儿子继承矿井，对他的研究加以阻扰，同时警方也为山林失火事件终止了霍默的活动，这个年轻人还能获得自己想要的成功么？	http://movie.douban.com/subject/1293753/	
12怒汉：大审判 12	2007	剧情/悬疑	俄罗斯	159	8.5	16184	　　翻拍自1957年Sidney Lumet的12 angry men。　　一个车臣男孩被指控谋杀自己俄罗斯军官的继父，所有证人和证据均对他不利，12位陪审团成员对此展开了讨论，他们将决定男孩今后的命运。　　12名陪审员来自不同的行业，不同的种族。刚开始的时候，每个人心不在焉，对这起案件并不在乎，除了一个物理研究员之外，他们都认为男孩有罪。但是，物理研究员唤起了其他11个人对生命的尊重，他们开始认真讨论这起案件，讲述各自生活中的故事和经历，在决定男孩命运的同时，也审视自己的内心世界。　　最终，当他们达成一致意见的时候，陪审团主持人（Nikita Mikhalkov 饰）的决定却出乎意料……	http://movie.douban.com/subject/2027899/	
在世界转角遇见爱 Светът е голям и спасение дебне отвсякъде	2007	剧情/家庭	保加利亚 / 德国 / 斯洛文尼亚 / 匈牙利	-9999	8.3	11686	　　一个年过半百却精神矍烁的老人（米基马诺洛维克 Miki Manojlovic 饰）出现在躺在医院因车祸而失去记忆的青年亚历山（卡罗柳别克 Carlo Ljubek 饰）在的身边，他自称是亚历山大的外公，来自保加利亚。他还带来了一张旧照片和一盒双陆棋，并且如数家珍的向亚历山大讲起他小时候的事情。一系列的亲昵行为并不能唤起亚历山大的记忆，反正让亚历山大极不自在。于是，老人能做的只是每天来医院陪亚历山大下棋，跳动的棋子似乎扣动了亚历山大心灵深处的某种东西，他对这个老人之间建立起初级的信任。为了唤起亚历山大的记忆，并且重新鼓起他积极生活的勇气，老人决定带亚历山大开始一段“回家”之旅。一辆协力车，一路的美景，亚历山大在老人的鼓励下在途中邂逅美丽的爱情、重新找回积极生活的信心和勇气、并最近在意大利的收容所里找回往昔的记忆……　　这部德国莱比锡文学首奖作家伊利亚托亚...	http://movie.douban.com/subject/3299241/	
母亲 마더	2009	剧情	韩国	128	8.3	30559	　　因为儿子尹泰宇（元斌 饰）是智障，所以母亲（金惠子 饰）总是担心他受伤。一天，泰宇被一辆奔驰车撞倒，朋友镇泰（秦久 饰）带他去高尔夫球场找打球的教授报仇，结果被带回了警局。因为镇泰踢坏了后视镜，教授向他们索赔，泰宇被当成了挡箭牌。 从警局出来后，在家吃过晚饭，泰宇去找镇泰喝酒，但此时镇泰趁着夜色回到球场找出了白天扔进湖中的球杆。泰宇酒后尾随一个名叫文雅中的女学生，结果第二天雅中的尸体就出现在屋顶。泰宇被当做唯一的嫌疑人带回了警局，接着在警察的威胁下画押认罪。得知儿子入狱，心急如焚的母亲委托著名律师为他翻案。但是，泰宇的病影响了他的记忆，母亲在替儿申冤的道路上步履蹒跚……	http://movie.douban.com/subject/3036460/	
即使这样也不是我做的 それでもボクはやってない	2006	剧情	日本	143	8.3	5689	　　青年金子彻平（加濑亮饰）在高峰期乘上了地铁，赶往学长介绍的公司面试。不料，他在岸川站下车时，被一个女中学生拉住并被指认为是“痴汉”，彻平因此遭到了逮捕。在警察的严厉质问下，彻平坚称自己没有犯罪。而律师告诉彻平，如果否认犯罪将遭到拘留，一旦被起诉，后果将更加严重。这飞来横祸令彻平茫然失措，与此同时，彻平的母亲丰子（罇真佐子饰）和朋友齐藤达雄（山本耕史饰）为了还彻平清白， 四处奔走寻求帮助。当过法官的资深律师荒川正义（役所广司饰）和年轻的女律师须藤莉子（濑户朝香饰）向他们伸出了援手，一场决定命运的法庭辩论随即展开。	http://movie.douban.com/subject/1919906/	
幸福终点站 The Terminal	2004	剧情/喜剧/爱情	美国	128	8.6	169924	　　为了完成父亲的心愿，维克多（汤姆•汉克斯 Tom Hanks 饰）从故国乘坐飞机前往美国肯尼迪机场，但戏剧性的事情发生了：他被告知祖国发生政变，而他的身份证护照一一失效，同时他的签证也无法再使用。进退两难的维克多只有在机场滞留，等待新证件的办理。　　但是，他在机场等待了整整9个月。在这9个月里面，他用机场的洗手间洗漱，在候机室睡觉，他已经学懂因地制宜，在机场照料自己的生活，甚至还找了一份建筑工地工作。然而维克多的邋遢晦气却招来了机场负责人弗兰克（史坦利•图齐 Stanley Tucci 饰）的不满，而恐怕更令他气愤妒忌的是，美丽的空姐艾米利亚（凯瑟琳•泽塔-琼斯 Catherine Zeta-Jones 饰）竟然爱上了维克多。处在甜蜜中的维克多，也在慢慢观察机场的人生百态，自得其乐。	http://movie.douban.com/subject/1292274/	
紫色 The Color Purple	1985	剧情	美国	154	8.4	7938	　　故事发生在1909年的美国，西丽（乌比·戈德堡 Whoopi Goldberg 饰）和南蒂（阿科苏阿·巴西亚 Akosua Busia 饰）是一对情同手足的姐妹，虽然作为黑人女性她们必须面对残酷的现实，但有了彼此的陪伴，尚可苦中作乐，直到西丽被迫嫁给了黑人男子亚伯特（丹尼·格洛弗 Danny Glover 饰）。亚伯特性格粗暴，对于他来说，西丽比一个女佣好不了多少，动辄拳打脚踢，他真心爱着的是一个远在他乡的叫做夏戈（玛格丽特·艾弗瑞 Margaret Avery 饰）的女演员。南蒂前来陪伴西丽，亚伯特却因强暴她未遂而将她赶出家门，这一别，西丽彻底的失去了南蒂的音讯。　　在苦闷的生活中，女人们试图挣扎和抵抗，但最终无一例外的都屈服于歧视和强权之下，夏戈的到来改变了这一切，她独立坚强，从不因为自己女性的身份而有所畏惧，她的乐观给了西丽反抗的勇气，终于，她拿...	http://movie.douban.com/subject/1294503/	
东方快车谋杀案 Murder on the Orient Express	1974	剧情/悬疑	英国	128	8.3	22891	　　午夜过后，一场大雪迫使东方快车停了下来。侦探Poirot（阿尔伯特·芬尼 Albert Finney 饰）于深夜中被吵醒三次。次日清晨发现同车的美国富商被杀，在取证的过程中众说纷纭，昨晚那三次声响，以及出现的神秘女子，都让Poirot百思不得其解。根据同一车厢内12人的口供，凶手应该是以为头披红色围巾的女子，大家一口咬定她的特质以及出现的时间，与凶案处处吻合。这位女子如今不知所踪，而列车自始至终没有停下。　　这12人口供的一致性反而给Poirot打开了破案的思路，这是一桩叫人惊讶的凶杀案件。	http://movie.douban.com/subject/1292699/	
日落黄沙 The Wild Bunch	1969	动作/西部	美国	134	8.4	3179	　　派克（威廉·霍尔登 William Holden 饰）是个失败的强盗，他和他的同伙们不仅在抢劫银行上栽了跟头，自己还遭到了赏金猎手桑顿（罗伯特·瑞安 Robert Ryan 饰）的追杀，好在有印第安青年安琪（杰米·桑切兹 Jaime Sánchez 饰）出手相助，才得以脱险。　　跟随着安琪，派克一行人来到了墨西哥边界，在那里，驻扎着个性凶残暴躁的军阀玛帕奇（费南德斯·埃米里奥 Emilio Fernández 饰）及其同党，而玛帕奇和安琪之间，有着一段充满了仇恨和鲜血的不堪往事。为了能够通过玛帕奇的地盘，交出安琪成为了唯一也是无奈的选择。派克打算带领弟兄们救回安琪，不幸的是为时已晚，安琪已经被杀害。在悲愤交加的派克和玛帕奇之间，一场恶战即将拉开帷幕。	http://movie.douban.com/subject/1296963/	
狐狸与我 Le renard et l&#39;enfant	2007	剧情/家庭/冒险	法国	92	8.6	13910	　　一个十岁的小女孩（贝蒂•若耶-布萝Bertille Noël-Bruneau 饰）在上学路上碰见了一只正抓田鼠的狐狸。女孩被漂亮的狐狸迷住，下学后回到森林原地希望再见到那只狐狸。从秋天到冬天，女孩在厚雪地里沿着狐狸的脚印寻找，却失足摔断了腿，整个冬天只好在室内度过，读了很多关于狐狸的书。春天是猎狐的季节，为狐狸忧心忡忡的小女孩欣喜若狂的发现了狐狸的洞穴和它的三只小狐狸，却没想到狐狸嗅出人的气味，连夜转移了幼崽。女孩决定不去打扰狐狸，而是坐到山毛榉树上等它主动出现。就这样，人与狐狸的关系慢慢建立，狐狸带着小女孩展开了奇妙的森林冒险……　　本片的驯兽师是法国的玛丽诺耶•布拉妮（Marie-Noëlle Baroni），片中出现的六只狐狸及其他多数动物都来自于她的农场。	http://movie.douban.com/subject/2028659/	
双重赔偿 Double Indemnity	1944	惊悚/犯罪/黑色电影	美国	107	8.5	7796	　　Walter Neff（弗莱德·麦克莫瑞 Fred MacMurray 饰）是一个成功的保险代理人，他在夜里回到办公室，开始在一个录音机上诉说他的故事......　　Neff为了取得Dietrichson先生的保险代理权，来到了他的家中，Dietrichson先生不在，Neff遇到了Dietrichson先生的新妻子Phyllis Dietrichson（芭芭拉·斯坦威克 Barbara Stanwyck 饰）。美丽的Phyllis让Neff感到不自然，而她也开始说起她的丈夫的诸多不好之处。在第二次拜访中，Neff终于控制不住自己的欲望，愿意参与Phyllis的杀夫计划。Neff计划在Dietrichson先生坐火车的时候制造他失足摔下的假象，以骗取“双重保险”。一切进行的非常顺利，Dietrichson先生死掉了，Neff和Phyllis两人的爱情和...	http://movie.douban.com/subject/1293226/	
M就是凶手 M	1931	剧情/惊悚/犯罪	德国	117	8.3	11445	　　柏林这些天连续发生了多起小女孩失踪事件，最后发现这些孩子都无一例外惨遭毒手。这个专门以小女孩为目标的凶手令到柏林城内人人惊恐，家长都不敢让自己的孩子外出玩耍；警察们更是在社会压力下全部出动，然而却一无所获；连黑道都感到压力了，因为警察们一天到晚找他们麻烦，大大影响了他们 的生意。于是黑白两道同时展开了抓拿凶手行动。　　最终人们还是从一位卖气球的盲人小贩处获得线索，他曾经卖过气球给于凶手一同前来的小女孩，他根据凶手的口哨声认出了此人经常来买气球。聪明的小贩在凶手背后写了个字母“M”，于是警查们开始追寻这个凶手“M”（彼得•洛 Peter Lorre 饰）。	http://movie.douban.com/subject/1293381/	
周围的事 ぐるりのこと。	2008	剧情/家庭	日本		8.5	4427	　　金尾（Lily Franky 饰）和翔子（木村多江 饰）是一对普通的夫妇，金尾在鞋铺工作，翔子则是某杂志编辑部内不断被琐事烦扰的小编辑。夫妻俩的生活平淡无奇，甚至连亲热之事也按固定日期计划进行。　　在朋友的介绍下，金尾谋得一份法庭画家的工作。虽然妻子家人都不甚看好，但在安田（柄本明 饰）等前辈的帮助下，他的工作逐渐步入正轨。翔子不满意丈夫先斩后奏的做法，同时被杂志社的俗务所烦扰，但她心中幸福的种子正在发芽，一个小生命即将为这对夫妇的生活带来新的体验……　　本片荣获2009年日本电影学院奖最佳女主角（木村多江）、2009年蓝丝带奖最佳女主角（木村多江）和最佳新人（Lily Franky）、2008年报知电影奖最佳导演（橋口亮輔）、2009年每日电影大奖最佳剧本（橋口亮輔）和最佳影片。	http://movie.douban.com/subject/3105588/	
爱情是狗娘 Amores perros	2000	剧情/惊悚	墨西哥	154	8.3	24385	　　三个与狗有关的故事，三段令人唏嘘的人生。　　奥克塔瓦（Gael Garcia Bernal 饰）和母亲、兄嫂住在一起，哥哥阿米罗（Marco Perez 饰）和女人鬼混，白天在超市上班，晚上抢劫超市，对妻子苏珊娜（Vanessa Bauche 饰）和小孩十分粗暴，奥克塔瓦慢慢爱上了苏珊娜，为了和苏珊娜私奔，他带自己的狗“高飞”参加地下斗狗比赛，赢了不少钱。谁知，快到约定私奔的日子，阿米罗和苏珊娜带着小孩离开了，还带走了他辛苦攒下的钱，气急败坏的奥克塔瓦约老对手做最后一场比赛，对方输红了眼，开枪打伤“高飞”，奥克塔瓦刺伤对手，开车逃亡，发生车祸。他和家人的生活，就此转折。　　和奥克塔瓦撞车的是名模瓦雷里亚（Goya Toledo 饰），她的情人丹尼尔（Alvaro Guerrero 饰）刚刚离开妻子，二人开始同居。车祸使她的职业生涯受到了很大的影响，相依为...	http://movie.douban.com/subject/1292216/	
鸳梦重温 Random Harvest	1942	剧情/爱情	美国	126	8.5	2021	　　在第一次世界大战中，查理斯（罗纳德·考尔曼 Ronald Colman 饰）受伤并失去了记忆，几十年的人生突然变成了一张白纸，带着迷惘和绝望的心情，他与舞女波拉（葛丽亚·嘉逊 Greer Garson 饰）邂逅了。在得知了查理斯的情况之后，波拉果断的担负起了照顾他起居的职责，在波拉的精心照料下，查理斯渐渐的康复起来。尽管记忆并没有恢复，但重拾了阅读和写作能力的他成为了一名作家。　　一场意外的车祸唤醒了查理斯脑海中的记忆，同时也带走了关于波拉的一切。伤心欲绝的波拉并没有就此放弃，而是以秘书的身份再次接近了毫不知情的查理斯，这对心心相印却一再错身而过的情侣能否获得圆满的结局呢？	http://movie.douban.com/subject/1293695/	
音乐会 Le concert	2009	剧情/喜剧/音乐	法国 / 意大利 / 罗马尼亚 / 比利时 / 俄罗斯	119	8.6	10022	　　安德烈（阿列克塞·古斯科夫 Aleksei Guskov 饰）被盛赞为音乐天才，曾经当过俄国最伟大的交响乐团“波修瓦”的著名的乐队指挥。但因拒绝驱逐乐团里的犹太乐手，包括他最好的朋友——沙查（迪米特里·纳扎罗夫 Dmitri Nazarov 饰）而被解雇，染上了酗酒的毛病。“波修瓦”现在的经理为了愚弄和羞辱安德烈，让他留在乐团当清洁工。安德烈在无意之中发现了一份传真，法国巴黎最大的普莱耶音乐厅邀请“波修瓦”去演出，要求在两周之内给予回复。安德烈突然想到了一个疯狂的计划，他要把以前的那些音乐伙伴重新聚拢起来。被乐团流放之后，他们现在已经变成了一群混杂在莫斯科街头的最普通的人，从出租车司机、搬运工、跳蚤市场的地摊摊主到色情电影的配音演员，做的都是勉强维持生活的底层工作。他们决定顶替真正的“波修瓦”去巴黎，要向一切不公正的待遇展开复仇……	http://movie.douban.com/subject/3285642/	
金色梦乡 ゴールデンスランバー	2010	剧情/悬疑/惊悚	日本	141	8.6	14828	　　居住在仙台的宅急送工作人员青柳雅春（堺雅人 饰）是一个情感细腻、善良温和的青年。2年前，他曾因救助被歹徒威胁的当红女明星凛香（貫地谷しほり 饰）而成为当地家喻户晓的英雄人物。某天，他接到大学好友森田森吾（吉岡秀隆 饰）一同钓鱼的邀请，于是欣然前往。但是令青柳出乎意料的是，森田似乎把自己骗入一个陷阱之中。是日，正在故乡仙台视察的金田首相（伊藤ふみお 饰）遭到炸弹袭击身亡，而青柳则成为了头号嫌疑人。警察总署综合情报科迅速部署天罗地网，而知晓内幕的神秘势力也急于杀害青柳以灭口。在好友和陌生人的帮助下，青柳被迫在小小的仙台展开绝命逃亡，“对他人的信任”是他所拥有的唯一武器……　　本片根据伊坂幸太郎的同名原著改编。	http://movie.douban.com/subject/3660428/	
单身男子 A Single Man	2009	剧情	美国		8.4	42100	　　本片根据美国小说家克里斯托弗·伊舍伍德（Christopher Isherwood）1964年的同名小说改编。故事发生于1962年11月30日的美国加州洛杉矶。中年英语教授乔治·费尔科纳（科林·费斯 Colin Firth 饰）沉浸在与自己十六年共同生活的同性伴侣吉姆（马修·古迪 Matthew Goode 饰）车祸死亡的阴影中无法自拔，精心准备打算自杀。电影记录了乔治从早到晚一天的活动，包括他在学习授课，处理与学生肯尼（尼古拉斯·霍尔特 Nicholas Hoult 饰）的关系，并参加伦敦旧情人夏洛特（朱丽安·摩尔 Julian Moore 饰）私人晚餐的过程。　　本片获奥斯卡最佳男主角提名（科林·费斯），英国电影电视协会最佳服装设计提名和最佳男主角奖，金球奖最佳男主角提名，最佳女配角提名（朱丽安·摩尔）和最佳原创电影音乐提名，以及威尼斯电影节金狮奖...	http://movie.douban.com/subject/3275168/	
谜一样的双眼 El secreto de sus ojos	2009	剧情/爱情/悬疑	阿根廷 / 西班牙	129	8.3	41501	　　本杰明·艾斯玻希多（里卡杜·达林 Ricardo Darín 饰）是一名退休的检察官，几十年的司法工作经验让他积攒下诸多素材，而多年前一起奸杀案始终让他念念不忘，他希望将其付梓出版，了却心愿。25年前，23岁的美丽女教师莉莉安娜·科洛托（Carla Quevedo 饰）和银行职员里杜卡·莫拉莱斯（帕博罗·拉格 Pablo Rago 饰）相识相恋，然而就在两人已谈婚论嫁之际，莉莉安娜在公寓被人残忍强暴并杀害。是时司法腐败，为求尽快结案，本杰明的同事甚至随便找个外来移民顶罪。也许是为莉莉安娜死亡现场所震撼，本杰明执着地展开调查，从此卷入这桩扑朔迷离的爱恨疑案之中……　　本片荣获2010年第82届奥斯卡金像奖最佳外语片奖；2009年哈瓦那电影节观众奖、最佳男主角奖（Ricardo Darín）、最佳导演奖、最佳音乐奖、评审团特别奖。	http://movie.douban.com/subject/4066125/	
禁闭岛 Shutter Island	2010	剧情/悬疑/惊悚	美国	138	8.5	233601	　　本片根据美国小说家丹尼斯·勒翰（Dennis Lehane）的同名小说改编。 1954年，联邦警官泰迪（莱昂纳多·迪卡普里奥 Leonardo DiCaprio 饰）和搭档查克（马克·鲁弗洛 Mark Ruffalo 饰）乘船来到波士顿附近的禁闭岛精神病犯监狱调查一桩离奇失踪案。手刃亲生骨肉的女犯蕾切尔（艾米莉·莫迪默 Emily Mortimer 饰）从戒备森严的牢室神秘逃脱，藏匿于孤岛深处。泰迪怀疑监狱的主治精神病医师约翰·考利（本·金斯利 Ben Kingsley 饰）有意隐瞒内情，并向查克透露他上岛的真实目的其实是寻找当年纵火烧死他妻子德洛丽丝（米歇尔·威廉姆斯 Michelle Williams 饰）的管理员，并揭露美国政府利用精神病犯人进行人体科学实验的罪行。但随着调查的逐渐深入，真相却变得越来越扑朔迷离……	http://movie.douban.com/subject/2334904/	
月球 Moon	2009	剧情/科幻/悬疑	英国	97	8.5	91181	　　未来世界，随着科技的飞速进步，地球的污染也越来越严重。为了遏制这种现状，一家名为月能工业有限公司的企业应运而生。该公司致力于月球能源的开发，通过采集氦-3来满足地球对能源的需求。月能公司在月球设有基地，山姆·贝尔（山姆·洛克威尔 Sam Rockwell 饰）正是该基地 上唯一的工作人员。山姆是公司聘用的合同工，他已在月球孤零零地生活3年，陪伴他的只有智能机器人戈蒂（凯文·斯派西 Kevin Spacey 饰）。枯燥乏味的生活令山姆归心似箭，在还有两周就离开月球的时候，山姆偶然遭遇一起事故。醒来后的他发现戈蒂似乎对其有所隐瞒，公司高层也拒绝他的回程请求。山姆借机逃出基地，却在事故发生地点发现另一个自己……　　本片荣获2009年爱丁堡国际电影节最佳英国影片奖、2009年西雅图国际电影节最佳男主角奖。	http://movie.douban.com/subject/3073124/	
无耻混蛋 Inglourious Basterds	2009	剧情/战争/冒险	美国 / 德国	153	8.3	156098	　　故事分五章进行。二战中德占法国，德军上校汉斯（克里斯托弗·瓦尔兹 Christoph Waltz 饰）号称“犹太猎人”，在一次屠犹行动中，少女苏珊娜（梅勒尼·劳伦特 Mélanie Laurent 饰）侥幸逃脱。与此同时，八名美国犹太士兵在中尉奥尔多（布拉德·皮特 饰）的带领下潜入德占法国刺杀德国军人，其行动神出鬼没，手法残忍，对德军造成相当威胁，被称为“杂种”。三年后苏珊娜来到巴黎继承了姑母的电影院，结识了德国战斗英雄，电影《国家荣耀》的主演弗里德里克（丹尼尔·布尔 Daniel Brühl 饰）。对苏珊娜一见钟情的弗里德里克说服德国宣传部长约瑟夫·戈培尔（西尔维斯特·格洛斯 Sylvester Groth 饰）在苏珊娜的影院首映《国家荣耀》，希特勒（马丁·乌特克 Martin Wuttke 饰）本人也将出席。苏珊娜决定借放映之机烧毁影院；而在德国...	http://movie.douban.com/subject/1438652/	
我杀了我妈妈 J&#39;ai tué ma mère	2009	剧情/同性/家庭/传记	加拿大	96	8.4	23102	　　十六岁的少年于贝尔（Xavier Dolan 饰）父母离异多年，这个处于叛逆期的年青人发现，他和母亲再也不能像往昔一样亲切的聊天，伴随着这对母子的是似乎没有尽头的对峙。于贝尔和同性恋人安东尼的关系被母亲知晓，更使缓和不久的母子关系再次陷入低谷，母亲为了矫正于贝尔的同性恋倾向，联合其生父将他送入了寄宿学校，但他们各自内心的痛苦仍在延续，于贝尔用DV记录下了他对母亲混合了美好回忆与现实中充满琐碎争执的复杂感情。不堪忍受学校的于贝尔在安东尼帮助下逃出，母亲来到于贝尔儿时生活过的旧居，两人终于静静的坐了下来……　　本片由出生于1989年的Xavier Dolan自编自导自演，获2009年戛纳电影节导演双周单元艺术电影奖等多项褒奖。	http://movie.douban.com/subject/3707070/	
两生花 La double vie de Véronique	1991	剧情/爱情/音乐/奇幻	法国 / 挪威 / 波兰	98	8.3	47690	　　两个少女，一个生在波兰，一个生在法国，同样的相貌，同样的年龄，她们也有一样的名字：薇罗尼卡。她们都那样喜欢音乐，嗓音甜美。波兰的薇罗尼卡非常喜欢唱歌，唱高音特别出众。她觉得自己并不是独自一人生活在这个世界上，没想到一天她真的遇到一个样子跟她一模一样的女孩，可是她自己却在一次表演中心脏病发暴毙在舞台上。此时身在法国的薇罗尼卡正沉醉在与男友的欢愉中，突然她觉得特别的空虚难过。此后她的生活中便常常响起一段极其哀怨的曲子，她爱上了一个儿童读物作家。一次与男友聊天的过程中，她发现了在波兰拍的照片中，出现了一个与自己极为相似的女子，此时她才深深相信，世界上还有另外一个自己存在。	http://movie.douban.com/subject/1291877/	
恐惧吞噬灵魂 Angst essen Seele auf	1974	剧情/爱情	西德		8.4	2790	　　艾米（布里奇特·米拉 Brigitte Mira 饰）是一名60岁的清洁女工，辛苦工作的她拿着微薄的工资，生活很是清贫。机缘巧合之下，她结识了40岁的阿里（El Hedi ben Salem 饰），他们一起跳了一支舞后阿里提出送艾米回家。夜深了，阿里错过了末班车，只得在艾米家留宿。两个孤独寂寞的人相见恨晚，秉烛夜谈，当艾米为此感到深深的疑虑时，阿里只是淡淡的安慰了她。果不其然，艾米留宿男人的事情很快传遍了大街小巷，邻居同事的指指戳戳教她如坐针毡，无奈的她只得编撰了一个谎言，她说阿里是她的未婚夫。这门婚事毫不意外的遭到了所有人的反对，大家尽己所能的排挤、诋毁这对夫妻，这使得他们决定外出旅行避避风头。回来后两人的境遇有所好转，并不是街坊邻居接纳了他们，而是因为他们有了新的排挤对象。没有了外界的压力，艾米和阿里的感情却又因为内部的矛盾而产生了裂痕。　　影片用...	http://movie.douban.com/subject/1294092/	
金玉盟 An Affair to Remember	1957	剧情/喜剧/爱情	美国	119	8.4	5259	　　Nickie Ferrante（加里·格兰特 Cary Grant 饰）是一个游手好闲的有钱人，在一艘游轮上邂逅了Terry McKay （黛博拉·蔻儿 Deborah Kerr饰）。两人相谈甚欢，Nickie更是船临时靠岸的时候带着Terry去了一个乡镇上看望了他的奶奶，Terry发现了Nickie在油画上的天赋。两人间情愫暗生。船到了终点站纽约，两人要分开了，约定半年后在纽约帝国大厦顶层重聚。半年后，Nickie独自一人在帝国大厦从白天等到天黑，未见Terry的踪影，失望而去。而另一边，Terry却在赶来的路上发生了车祸而无法到达。不能走路的Terry不愿再去寻找Nickie，却偶然在半年后的一场舞会上又见到了Nickie，此时的Nickie已经是小有名气的画家。Nickie费尽心思终于找到了Terry的住所，准备再次追求Terry的芳心。到底这...	http://movie.douban.com/subject/1293320/	
秋天的故事 Conte d&#39;automne	1998	剧情/爱情	法国	112	8.4	4636	　　侯麦《人间四季》的最后一部。马嘉利（碧翠丝·罗曼德 Béatrice Romand 饰）是一名大龄剩女，有一个儿子和一片葡萄园，过着自给自足的生活。伊莎贝拉（玛丽·瑞莱 Marie Rivière 饰）一直担心着马嘉利的终身大事，她不愿她的密友在孤独中度过晚年。伊莎贝拉以马嘉利的名义偷偷在报纸上登了交友广告，没想到来者热拉尔（阿兰·利博 Alain Libolt 饰）正是自己中意的类型，一个善意的举动使得两个好友落到了尴尬的境地。　　罗欣（Alexia Portal 饰）是马嘉利儿子的女友，但她真正喜欢的，却是和年长的马嘉利呆在一起。罗欣也想在马嘉利的爱情道路上出一份力，但她所做的，居然是将自己的前男友，一名年长的哲学教授介绍给马嘉利，但哲学教授显然仍对罗欣恋恋不忘。马嘉利孑然一身的生命里突然闯进了两个男人，秋天就快要结束了，但这一团剪不断理还乱的关系...	http://movie.douban.com/subject/1294140/	
二手狮王 Secondhand Lions	2003	剧情/喜剧/家庭	美国	111	8.5	9575	　　暑假刚刚开始，14岁的男孩沃尔特（海利·乔·奥斯蒙 Haley Joel Osment 饰）就在百般的不情愿中被母亲玫（凯拉·塞吉维克 Kyra Sedgwick 饰）打发到了位于乡下的两个伯父家，他们分别是贾斯（迈克尔·凯恩 Michael Caine 饰）和哈勃（罗伯特·杜瓦尔 Robert Duvall 饰）。　　初来乍到的沃尔特十分不习惯乡下的生活，对于两个个性古怪的伯父，他更是敬而远之。一张神秘的照片的出现拉近了沃尔特和伯父们的关系，追寻着照片里的线索，伯父们向沃尔特讲述起了他们当年的故事。那时一个充满了梦想和激情的年代，伯父们的故事为沃尔特打开了新世界的大门，与此同时，通过回忆往昔，贾斯和哈勃两个有故事的男人也找到了各自人生的意义和快乐所在。	http://movie.douban.com/subject/1308191/	
